Reference area,Unit of measure,ISO,ISO.1,TIME_PERIOD,OBS_VALUE
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2000,20.065334
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2001,19.829468
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2002,19.708689
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2003,20.741179
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2004,19.067093
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2005,19.288401
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2006,22.413176
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2007,19.722197
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2008,19.517981
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2009,17.950005
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2010,18.29208
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2011,18.264711
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2012,16.667421
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2013,16.030716
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2014,15.917038
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2015,16.718204
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2016,14.323016
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2017,14.965245
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2018,15.10258
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2019,14.876666
Cyprus,Microgrammes per cubic metre,CYP,Cyprus,2020,13.41109
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2000,37.053608
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2001,36.458542
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2002,40.311848
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2003,43.376904
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2004,38.36644
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2005,39.196743
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2006,40.766354
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2007,33.387112
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2008,33.367947
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2009,34.862976
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2010,35.428551
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2011,39.621113
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2012,35.655827
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2013,33.85968
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2014,32.62532
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2015,33.923382
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2016,30.469713
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2017,31.042498
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2018,32.561752
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2019,26.770117
Bosnia and Herzegovina,Microgrammes per cubic metre,BIH,Bosnia and Herzegovina,2020,26.64802
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2000,38.47517
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2001,40.148048
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2002,38.987133
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2003,41.252319
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2004,39.458889
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2005,39.728466
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2006,40.329502
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2007,39.594509
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2008,39.692966
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2009,43.000057
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2010,35.375923
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2011,38.403942
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2012,37.046947
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2013,45.359234
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2014,43.491798
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2015,42.031254
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2016,38.164165
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2017,38.720501
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2018,33.800598
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2019,30.771303
Democratic People’s Republic of Korea,Microgrammes per cubic metre,PRK,Democratic People’s Republic of Korea,2020,29.588306
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2000,17.215925
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2001,17.505936
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2002,17.074413
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2003,15.787693
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2004,15.710457
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2005,15.432463
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2006,16.541389
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2007,16.965231
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2008,17.501051
Turkmenistan,Microgrammes per cubic metre,TKM,Turkmenistan,2009,18.904119
