lat,lon,country,iso
35.6897,139.6922,Japan,JPN
-6.175,106.8275,Indonesia,IDN
14.5958,120.9772,Philippines,PHL
37.56,126.99,"Korea, South",KOR
19.4333,-99.1333,Mexico,MEX
30.0444,31.2358,Egypt,EGY
23.7639,90.3889,Bangladesh,BGD
39.9067,116.3975,China,CHN
13.7525,100.4942,Thailand,THA
55.7558,37.6172,Russia,RUS
-34.6033,-58.3817,Argentina,ARG
35.6892,51.3889,Iran,IRN
-4.3219,15.3119,Congo (Kinshasa),COD
51.5072,-0.1275,United Kingdom,GBR
48.8567,2.3522,France,FRA
-12.06,-77.0375,Peru,PER
-8.8383,13.2344,Angola,AGO
3.1478,101.6953,Malaysia,MYS
21,105.85,Vietnam,VNM
4.7111,-74.0722,Colombia,COL
15.6,32.5,Sudan,SDN
22.3,114.2,Hong Kong,HKG
24.6333,46.7167,Saudi Arabia,SAU
-33.4372,-70.6506,Chile,CHL
40.4169,-3.7033,Spain,ESP
33.3153,44.3661,Iraq,IRQ
1.3,103.8,Singapore,SGP
-1.2864,36.8172,Kenya,KEN
39.93,32.85,Turkey,TUR
16.795,96.16,Burma,MMR
38.9047,-77.0163,United States,USA
5.3167,-4.0333,Côte d’Ivoire,CIV
52.52,13.405,Germany,DEU
-33.9253,18.4239,South Africa,ZAF
34.5253,69.1783,Afghanistan,AFG
12.6392,-8.0028,Mali,MLI
31.9497,35.9328,Jordan,JOR
9.0667,7.4833,Nigeria,NGA
36.7539,3.0589,Algeria,DZA
37.9842,23.7281,Greece,GRC
9.03,38.74,Ethiopia,ETH
14.6133,-90.5353,Guatemala,GTM
29.3697,47.9783,Kuwait,KWT
47.4925,19.0514,Hungary,HUN
15.3483,44.2064,Yemen,YEM
41.3111,69.2797,Uzbekistan,UZB
50.45,30.5233,Ukraine,UKR
-16.4958,-68.1333,Bolivia,BOL
39.0167,125.7475,"Korea, North",PRK
-15.7939,-47.8828,Brazil,BRA
41.8933,12.4828,Italy,ITA
2.0392,45.3419,Somalia,SOM
25.0375,121.5625,Taiwan,TWN
33.5131,36.2919,Syria,SYR
-15.4167,28.2833,Zambia,ZMB
12.3686,-1.5275,Burkina Faso,BFA
3.8667,11.5167,Cameroon,CMR
33.8983,35.5057,Lebanon,LBN
44.4325,26.1039,Romania,ROU
5.55,-0.2,Ghana,GHA
