CountryName,CountryCode,Year,GDP per capita (constant LCU),GDP per capita growth (annual %),"Life expectancy at birth, total (years)",PM2.5 level
Albania,ALB,2000,233277.29,7.63,75.4,21.9
Albania,ALB,2001,255005.66,9.314,75.64,20.85
Albania,ALB,2002,267374.65,4.85,75.89,23.2
Albania,ALB,2003,283214.49,5.924,76.14,25.52
Albania,ALB,2004,300084.36,5.957,76.38,22.44
Albania,ALB,2005,318293.12,6.068,76.62,22.34
Albania,ALB,2006,339214.28,6.573,76.82,23.19
Albania,ALB,2007,362237.53,6.787,77.55,20.85
Albania,ALB,2008,392405.07,8.328,77.65,20.11
Albania,ALB,2009,408309.79,4.053,77.78,20.58
Albania,ALB,2010,425553.06,4.223,77.94,20.47
Albania,ALB,2011,437560.65,2.822,78.09,22.38
Albania,ALB,2012,444495.43,1.585,78.06,20.56
Albania,ALB,2013,449772.63,1.187,78.12,19.06
Albania,ALB,2014,458702.36,1.985,78.41,19.05
Albania,ALB,2015,470247.11,2.517,78.64,18.75
Albania,ALB,2016,486613.08,3.48,78.86,17.28
Albania,ALB,2017,505581.81,3.898,79.05,18.25
Albania,ALB,2018,527202.06,4.276,79.18,18.71
Albania,ALB,2019,540506.22,2.524,79.28,15.43
Albania,ALB,2020,525668.03,-2.745,76.99,15.43
Andorra,AND,2000,30132.38,2.836,,15.58
Andorra,AND,2001,31751.25,5.373,,14.87
Andorra,AND,2002,31775.61,0.077,,14.8
Andorra,AND,2003,33109.18,4.197,,15.05
Andorra,AND,2004,34394.6,3.882,,13.84
Andorra,AND,2005,34937.36,1.578,,13.96
Andorra,AND,2006,36437.09,4.293,,14.07
Andorra,AND,2007,37974.87,4.22,,13.76
Andorra,AND,2008,36860.17,-2.935,,12.31
Andorra,AND,2009,35946.76,-2.478,,13.32
Andorra,AND,2010,36386.27,1.223,,11.93
Andorra,AND,2011,36874.18,1.341,,13.03
Andorra,AND,2012,34819.82,-5.571,,11.87
Andorra,AND,2013,33417.97,-4.026,,10.92
Andorra,AND,2014,34133.42,2.141,,10.09
Andorra,AND,2015,34562.62,1.257,,10.77
Andorra,AND,2016,35452.44,2.575,,9.79
Andorra,AND,2017,34950.23,-1.417,,9.72
Andorra,AND,2018,34948.88,-0.004,,9.58
