Year,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Faroe Islands,Finland,france,germany,Greece,Hungary,Iceland,Ireland,Isle of Man,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Moscow Oblast,Netherlands,North Macedonia,norway,Poland,Portugal,Romania,San Marino,Serbia,Slovak Republic,spain,Sweden,Switzerland,Ukraine,uk,average
2000,21.9,15.58,19.09,27.34,19.33,37.05,25.09,22.2,20.37,15.34,11.5,7.23,8.1,15.76,18.14,23.95,20.62,8.04,12.29,9.98,25.46,22.88,14.67,17.96,14.23,17.68,28.07,17.15,26.93,20.83,18.99,41.08,10.52,25.58,13.63,20.21,15.6,31.26,21.22,16.1,9.71,16.18,26.17,15.76,19.24
2001,20.85,14.87,18.02,26.54,17.86,36.46,24.8,21.96,21.03,13.02,10.99,7.53,7.47,15.15,17.06,22.29,20.44,7.64,11.4,9.36,22.05,21.08,15.41,16.99,13.63,17.27,28.02,16.13,26.32,20.9,17.2,38.99,9.14,25.55,13.06,20.25,14.35,31.86,21.54,15.08,8.15,15.4,26.06,13.94,18.48
2002,23.2,14.8,18.45,29.84,17.83,40.31,27.36,25.23,23.33,14.19,12.25,7.46,7.49,14.78,17.69,23.07,23.21,8.13,11.62,9.54,23.25,24.58,14.86,19.08,13.68,17.48,30.85,16.81,28.86,22.45,17.87,42.42,9.42,29.64,13.02,22.93,14.64,34.42,24.4,15.22,8.53,14.99,27.24,14.42,19.79
2003,25.52,15.05,18.96,23.77,20.11,43.38,28.97,26.88,24.2,15.71,10.4,7.73,8.03,16.42,18.37,24.3,24.47,8.58,13.96,10.56,24.73,21.32,14.84,16.57,14.96,19.26,24.79,18.18,31.45,18.71,19.46,45.45,10.2,30.36,13.87,23.69,15.55,37.33,25.44,15.61,9.45,16.26,23.05,17,20.29
2004,22.44,13.84,16.61,22.51,17.79,38.37,25.16,23.09,20.87,13,9.58,6.8,7.28,14.24,16.22,21.35,20.97,8,10.63,8.41,22.09,18.21,12.7,14.35,13.29,17.68,23.06,15.51,27.63,17.85,17.5,40.22,8.76,26.33,12.35,20.83,13.67,32.35,22.08,14.5,8.07,13.78,21.74,13.72,17.85
2005,22.34,13.96,18.12,21.5,17.29,39.2,25.7,24.29,22.22,13.84,9.37,6.47,7.6,14.57,16.55,22.11,21.87,7.72,11.61,8.52,22.65,18.56,13.09,14.41,13.51,16.84,22.27,15.96,27.33,16.07,17.2,40.71,8.65,27.54,12.65,21.26,14.3,33.6,23.18,14.49,8.44,14.24,20.95,14.17,18.11
2006,23.19,14.07,18.55,21.14,19.1,40.77,26.98,25.5,23.17,14.73,9.27,6.86,8.39,15.38,17.35,22.81,23.25,7.89,11.84,8.9,22.76,18.28,13.88,14.19,14.16,16.58,20.95,16.21,28.71,16.03,18.09,41.73,10.01,29.69,13.25,22.43,14.46,35,24.54,15.13,9.4,15.21,19.6,14.22,18.72
2007,20.85,13.76,16.04,19.52,17.1,33.39,22.11,20.23,18.41,13.71,8.2,6.21,7.24,14.62,16.02,22.06,18.46,7.54,11.67,8.69,21.53,16.13,12.1,12.98,13.09,17.98,19.52,15.7,25.11,14.02,16.8,35.5,8.56,24.14,12.66,18.15,13.34,28.19,19.66,14.53,8.23,13.64,18.29,13.92,16.58
2008,20.11,12.31,15.19,18.68,16.31,33.37,22.74,20.11,18.25,11.67,8.05,6.18,6.89,13.41,15.11,21.31,18.25,7.41,10.66,7.83,20.22,15.79,11.85,12.33,12.34,17.03,18.47,14.44,24.33,14.15,15.85,35.75,8.24,23.16,10.97,18.31,12.69,28.3,19.38,13,7.59,13.32,17.31,13.48,15.96
2009,20.58,13.32,16.47,19.55,16.57,34.86,22.75,20.94,19.27,11.97,8.12,6.05,6.93,13.77,15.22,20.51,19.07,7.36,10.47,7.59,20.52,16.24,13.29,12.53,12.41,16.2,19.13,14.64,25.29,15.1,15.55,36.13,8.44,24.26,11.03,18.97,12.87,29.42,20.23,13.12,7.68,14.11,18.03,12.54,16.34
