Entity,Code,Year,Carbon dioxide emissions from transport
Afghanistan,AFG,2000,0.51
Afghanistan,AFG,2001,0.51
Afghanistan,AFG,2002,0.51
Afghanistan,AFG,2003,0.72
Afghanistan,AFG,2004,0.6
Afghanistan,AFG,2005,1.13
Afghanistan,AFG,2006,1.43
Afghanistan,AFG,2007,1.6
Afghanistan,AFG,2008,2.68
Afghanistan,AFG,2009,4.37
Afghanistan,AFG,2010,5.54
Afghanistan,AFG,2011,6.71
Afghanistan,AFG,2012,5.85
Afghanistan,AFG,2013,4.33
Afghanistan,AFG,2014,3.53
Afghanistan,AFG,2015,4.29
Afghanistan,AFG,2016,3.31
Afghanistan,AFG,2017,3.94
Afghanistan,AFG,2018,4.41
Afghanistan,AFG,2019,4.53
Afghanistan,AFG,2020,3.26
Albania,ALB,2000,1.47
Albania,ALB,2001,1.55
Albania,ALB,2002,1.77
Albania,ALB,2003,1.92
Albania,ALB,2004,2.31
Albania,ALB,2005,2.38
Albania,ALB,2006,1.92
Albania,ALB,2007,2.1
Albania,ALB,2008,2.29
Albania,ALB,2009,2.31
Albania,ALB,2010,2.24
Albania,ALB,2011,2.36
Albania,ALB,2012,2.26
Albania,ALB,2013,2.47
Albania,ALB,2014,2.48
Albania,ALB,2015,2.45
Albania,ALB,2016,2.3
Albania,ALB,2017,2.31
Albania,ALB,2018,2.21
Albania,ALB,2019,2.19
Albania,ALB,2020,1.53
Armenia,ARM,2000,0.57
Armenia,ARM,2001,0.57
Armenia,ARM,2002,0.54
Armenia,ARM,2003,0.59
Armenia,ARM,2004,0.61
Armenia,ARM,2005,0.67
Armenia,ARM,2006,0.67
Armenia,ARM,2007,1.06
Armenia,ARM,2008,1.26
Armenia,ARM,2009,1.14
Armenia,ARM,2010,1.26
Armenia,ARM,2011,1.29
Armenia,ARM,2012,1.3
Armenia,ARM,2013,1.28
Armenia,ARM,2014,1.71
Armenia,ARM,2015,1.66
Armenia,ARM,2016,1.58
Armenia,ARM,2017,1.67
Armenia,ARM,2018,1.8
Armenia,ARM,2019,2.06
Armenia,ARM,2020,2.26
Austria,AUT,2000,18.56
Austria,AUT,2001,20.05
Austria,AUT,2002,21.94
Austria,AUT,2003,23.52
Austria,AUT,2004,23.85
Austria,AUT,2005,24.55
Austria,AUT,2006,23.4
Austria,AUT,2007,23.59
Austria,AUT,2008,22.55
Austria,AUT,2009,21.72
Austria,AUT,2010,22.53
Austria,AUT,2011,21.72
Austria,AUT,2012,21.66
Austria,AUT,2013,23.12
Austria,AUT,2014,22.66
Austria,AUT,2015,23.17
Austria,AUT,2016,23.99
Austria,AUT,2017,24.55
Austria,AUT,2018,24.8
Austria,AUT,2019,24.85
Austria,AUT,2020,21.71
Azerbaijan,AZE,2000,2.36
Azerbaijan,AZE,2001,2.6
Azerbaijan,AZE,2002,2.93
Azerbaijan,AZE,2003,3.15
Azerbaijan,AZE,2004,3.79
Azerbaijan,AZE,2005,4.21
Azerbaijan,AZE,2006,4.84
Azerbaijan,AZE,2007,3.78
Azerbaijan,AZE,2008,4.77
Azerbaijan,AZE,2009,4.25
Azerbaijan,AZE,2010,4.95
Azerbaijan,AZE,2011,5.8
Azerbaijan,AZE,2012,6.4
Azerbaijan,AZE,2013,7.29
Azerbaijan,AZE,2014,7.55
Azerbaijan,AZE,2015,6.8
Azerbaijan,AZE,2016,6.34
Azerbaijan,AZE,2017,7.61
Azerbaijan,AZE,2018,8.41
Azerbaijan,AZE,2019,8.3
Azerbaijan,AZE,2020,6.82
Bahrain,BHR,2000,1.53
Bahrain,BHR,2001,1.59
Bahrain,BHR,2002,1.78
Bahrain,BHR,2003,1.94
Bahrain,BHR,2004,2.12
Bahrain,BHR,2005,2.48
Bahrain,BHR,2006,2.59
Bahrain,BHR,2007,2.82
Bahrain,BHR,2008,3.09
Bahrain,BHR,2009,3.04
Bahrain,BHR,2010,3.12
Bahrain,BHR,2011,2.94
Bahrain,BHR,2012,3.16
Bahrain,BHR,2013,3.28
Bahrain,BHR,2014,3.37
Bahrain,BHR,2015,3.52
Bahrain,BHR,2016,3.6
Bahrain,BHR,2017,3.71
Bahrain,BHR,2018,3.82
Bahrain,BHR,2019,3.74
Bahrain,BHR,2020,3.29
Bangladesh,BGD,2000,3.03
Bangladesh,BGD,2001,3.79
Bangladesh,BGD,2002,3.86
Bangladesh,BGD,2003,3.93
Bangladesh,BGD,2004,4.54
Bangladesh,BGD,2005,5.06
Bangladesh,BGD,2006,5.28
Bangladesh,BGD,2007,5.39
Bangladesh,BGD,2008,6.02
Bangladesh,BGD,2009,6.35
Bangladesh,BGD,2010,7.35
Bangladesh,BGD,2011,8.56
Bangladesh,BGD,2012,8.65
Bangladesh,BGD,2013,8.21
Bangladesh,BGD,2014,8.87
Bangladesh,BGD,2015,9.29
Bangladesh,BGD,2016,9.84
Bangladesh,BGD,2017,10.98
Bangladesh,BGD,2018,12.04
Bangladesh,BGD,2019,11.7
Bangladesh,BGD,2020,10.36
Belarus,BLR,2000,6.45
Belarus,BLR,2001,6.12
Belarus,BLR,2002,6.61
Belarus,BLR,2003,6.82
Belarus,BLR,2004,6.98
Belarus,BLR,2005,7.77
Belarus,BLR,2006,9.13
Belarus,BLR,2007,9.29
Belarus,BLR,2008,10.55
Belarus,BLR,2009,9.65
Belarus,BLR,2010,10.24
Belarus,BLR,2011,10.87
Belarus,BLR,2012,11.67
Belarus,BLR,2013,12.18
Belarus,BLR,2014,11.59
Belarus,BLR,2015,10.38
Belarus,BLR,2016,10.8
Belarus,BLR,2017,11.26
Belarus,BLR,2018,11.84
Belarus,BLR,2019,11.8
Belarus,BLR,2020,10.61
Belgium,BEL,2000,24.48
Belgium,BEL,2001,25.3
Belgium,BEL,2002,25.24
Belgium,BEL,2003,25.88
Belgium,BEL,2004,26.97
Belgium,BEL,2005,26.19
Belgium,BEL,2006,26.6
Belgium,BEL,2007,27.43
Belgium,BEL,2008,27.5
Belgium,BEL,2009,26.66
Belgium,BEL,2010,25.83
