Entity,Code,Year,Fossil fuels (% equivalent primary energy)
Austria,AUT,2000,67.40823
Austria,AUT,2001,69.332115
Austria,AUT,2002,69.793846
Austria,AUT,2003,74.76203
Austria,AUT,2004,72.7251
Austria,AUT,2005,72.50463
Austria,AUT,2006,71.87172
Austria,AUT,2007,69.75028
Austria,AUT,2008,69.227875
Austria,AUT,2009,66.21838
Austria,AUT,2010,68.68552
Austria,AUT,2011,69.6943
Austria,AUT,2012,64.238235
Austria,AUT,2013,64.6911
Austria,AUT,2014,63.696934
Austria,AUT,2015,65.725624
Austria,AUT,2016,64.6952
Austria,AUT,2017,65.54416
Austria,AUT,2018,65.63801
Austria,AUT,2019,64.52704
Austria,AUT,2020,61.81117
Azerbaijan,AZE,2000,96.565056
Azerbaijan,AZE,2001,96.99589
Azerbaijan,AZE,2002,95.30602
Azerbaijan,AZE,2003,94.73423
Azerbaijan,AZE,2004,94.84142
Azerbaijan,AZE,2005,94.83499
Azerbaijan,AZE,2006,95.6337
Azerbaijan,AZE,2007,95.575264
Azerbaijan,AZE,2008,95.85082
Azerbaijan,AZE,2009,95.04291
Azerbaijan,AZE,2010,92.55145
Azerbaijan,AZE,2011,94.93506
Azerbaijan,AZE,2012,96.67331
Azerbaijan,AZE,2013,97.22676
Azerbaijan,AZE,2014,97.57517
Azerbaijan,AZE,2015,97.25031
Azerbaijan,AZE,2016,96.663086
Azerbaijan,AZE,2017,96.95886
Azerbaijan,AZE,2018,97.01465
Azerbaijan,AZE,2019,97.400734
Azerbaijan,AZE,2020,98.10477
Bangladesh,BGD,2000,98.37291
Bangladesh,BGD,2001,98.12497
Bangladesh,BGD,2002,98.59867
Bangladesh,BGD,2003,98.68135
Bangladesh,BGD,2004,98.76609
Bangladesh,BGD,2005,98.866875
Bangladesh,BGD,2006,98.95441
Bangladesh,BGD,2007,98.984764
Bangladesh,BGD,2008,98.778824
Bangladesh,BGD,2009,99.49041
Bangladesh,BGD,2010,99.13851
Bangladesh,BGD,2011,98.982216
Bangladesh,BGD,2012,99.126686
Bangladesh,BGD,2013,99.17341
Bangladesh,BGD,2014,99.315025
Bangladesh,BGD,2015,99.1793
Bangladesh,BGD,2016,99.22861
Bangladesh,BGD,2017,99.12095
Bangladesh,BGD,2018,99.268166
Bangladesh,BGD,2019,99.3407
Bangladesh,BGD,2020,99.328415
Belarus,BLR,2000,99.96869
Belarus,BLR,2001,99.964455
Belarus,BLR,2002,99.96699
Belarus,BLR,2003,99.9681
Belarus,BLR,2004,99.96562
Belarus,BLR,2005,99.96271
Belarus,BLR,2006,99.96398
Belarus,BLR,2007,99.950294
Belarus,BLR,2008,99.89955
Belarus,BLR,2009,99.803055
Belarus,BLR,2010,99.74318
Belarus,BLR,2011,99.75098
Belarus,BLR,2012,99.73672
Belarus,BLR,2013,99.684586
Belarus,BLR,2014,99.6956
Belarus,BLR,2015,99.64252
Belarus,BLR,2016,99.578156
Belarus,BLR,2017,99.23718
Belarus,BLR,2018,99.37399
Belarus,BLR,2019,99.2389
Belarus,BLR,2020,98.71217
Belgium,BEL,2000,81.184204
Belgium,BEL,2001,81.8185
Belgium,BEL,2002,81.43501
Belgium,BEL,2003,82.20268
Belgium,BEL,2004,82.28348
Belgium,BEL,2005,81.83737
Belgium,BEL,2006,81.993515
Belgium,BEL,2007,81.44485
Belgium,BEL,2008,82.39577
Belgium,BEL,2009,79.766495
Belgium,BEL,2010,80.1107
Belgium,BEL,2011,78.02866
Belgium,BEL,2012,79.37288
Belgium,BEL,2013,78.65156
Belgium,BEL,2014,80.38664
Belgium,BEL,2015,82.94199
Belgium,BEL,2016,77.75874
Belgium,BEL,2017,77.879005
Belgium,BEL,2018,82.29644
Belgium,BEL,2019,77.01254
Belgium,BEL,2020,76.06734
Bulgaria,BGR,2000,72.69254
Bulgaria,BGR,2001,73.29445
Bulgaria,BGR,2002,71.1639
Bulgaria,BGR,2003,74.80606
Bulgaria,BGR,2004,74.51069
Bulgaria,BGR,2005,73.07261
Bulgaria,BGR,2006,72.883736
Bulgaria,BGR,2007,79.42476
Bulgaria,BGR,2008,77.94707
Bulgaria,BGR,2009,74.65481
Bulgaria,BGR,2010,73.13603
Bulgaria,BGR,2011,75.897896
Bulgaria,BGR,2012,73.333015
Bulgaria,BGR,2013,71.11491
Bulgaria,BGR,2014,70.39691
Bulgaria,BGR,2015,71.00811
Bulgaria,BGR,2016,71.17461
Bulgaria,BGR,2017,73.36065
Bulgaria,BGR,2018,68.70137
Bulgaria,BGR,2019,69.431595
Bulgaria,BGR,2020,67.01623
China,CHN,2000,93.94061
China,CHN,2001,92.98639
China,CHN,2002,93.20128
China,CHN,2003,93.936386
China,CHN,2004,93.64506
China,CHN,2005,93.75179
China,CHN,2006,93.77246
China,CHN,2007,93.607414
China,CHN,2008,92.01735
China,CHN,2009,92.37326
China,CHN,2010,91.69924
China,CHN,2011,92.17983
China,CHN,2012,90.6856
China,CHN,2013,90.18042
China,CHN,2014,88.77536
China,CHN,2015,87.9037
China,CHN,2016,86.72266
China,CHN,2017,85.979996
China,CHN,2018,85.187325
China,CHN,2019,84.346214
China,CHN,2020,83.69556
Croatia,HRV,2000,80.23367
Croatia,HRV,2001,79.22051
Croatia,HRV,2002,83.19336
Croatia,HRV,2003,85.11253
Croatia,HRV,2004,80.101746
Croatia,HRV,2005,81.49893
Croatia,HRV,2006,82.47591
Croatia,HRV,2007,87.606766
Croatia,HRV,2008,84.73763
Croatia,HRV,2009,80.283394
Croatia,HRV,2010,76.14875
