Country Name,CountryCode,Series Name,SeriesCode,Year,Value
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,75.4
Albania,ALB,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2000,22.0
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2000,7.63
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2000,233277.29
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,41.4
Albania,ALB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,2000,58.72
Albania,ALB,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2000,1.47
Albania,ALB,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,2000,0.47
Albania,ALB,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,2000,0.12
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,
Andorra,AND,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2000,21.0
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2000,2.836
Andorra,AND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2000,30132.38
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,14.5
Andorra,AND,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,2000,
Andorra,AND,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2000,
Andorra,AND,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,2000,
Andorra,AND,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,2000,
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,78.13
Austria,AUT,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2000,17.0
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2000,3.127
Austria,AUT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2000,35008.96
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2000,26.4
Austria,AUT,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,2000,76.54
Austria,AUT,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2000,18.56
